날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계,breakfast_embedding,lunch_embedding,dinner_embedding
2023-04-02,시리얼,161.2kcal,감자조림,126.81kcal,매실양념깻잎,22.61kcal,,,2733.57kcal,"[27.4, 1.12, 2.39, [1, 0, 0, 0, 0]]","[6.66, 1.68, 0.79, [1, 0, 0, 0, 0]]","[13.0, 3.0, 2.0, [1, 0, 0, 0, 0]]"
2023-04-02,우유(백색우유(200ML,122kcal,배추김치,10kcal,배추김치,10kcal,,,2733.57kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]",,
2023-04-02,사과,29.841kcal,,,,,,,2733.57kcal,"[13.81, 0.17, 0.26, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-03,밥,363kcal,밥,363kcal,밥,363kcal,,,2744.16kcal,,,
2023-04-03,계란조갯살찌개,74.78kcal,어묵콩나물국,92.9kcal,아욱고추장찌개,37.37kcal,,,2744.16kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[5.87, 1.54, 2.17, [1, 0, 0, 0, 0]]","[13.53, 2.9, 6.9, [1, 0, 0, 0, 0]]"
2023-04-03,매콤새송이버섯볶음,52.17kcal,조미김,0kcal,제육볶음,540.14kcal,,,2744.16kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[1.55, 1.91, 0.68, [1, 0, 0, 0, 0]]","[10.37, 11.03, 13.21, [1, 0, 0, 0, 0]]"
2023-04-03,마늘김치두루치기,204.53kcal,쇠고기장조림,272.08kcal,양배추쌈,23.28kcal,,,2744.16kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[2.86, 7.38, 16.68, [1, 0, 0, 0, 0]]","[5.58, 0.12, 1.44, [1, 0, 0, 0, 0]]"
2023-04-03,깍두기,15.2kcal,갑오징어풋마늘무침,140.71kcal,배추김치,10kcal,,,2744.16kcal,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]",
2023-04-03,우유(백색우유(200ML,122kcal,배추김치,10kcal,,,,,2744.16kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]",,"[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-03,,,카프리썬사과,60kcal,,,,,2744.16kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[15.0, 0.0, 0.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-04,밥,363kcal,잡곡밥,361.64kcal,카레밥,803kcal,,,3394.93kcal,,,
2023-04-04,사골우거지국,254.2kcal,두부김치국,47.63kcal,짬뽕찌개,175.09kcal,,,3394.93kcal,"[6.0, 7.0, 14.0, [1, 0, 0, 0, 0]]","[18.0, 26.0, 28.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-04,감자채볶음,149.75kcal,돈육굴소스양배추볶음,340.07kcal,닭가슴살꿔바로우,415.45kcal,,,3394.93kcal,"[15.24, 6.03, 1.63, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[32.0, 12.0, 12.0, [1, 0, 0, 0, 0]]"
2023-04-04,닭순살야채조림,219kcal,매콤어두부전,108.9kcal,배추김치,10kcal,,,3394.93kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]",
2023-04-04,배추김치,10kcal,깍두기,15.2kcal,,,,,3394.93kcal,,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-04,우유(백색우유(200ML,122kcal,,,,,,,3394.93kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-05,밥,363kcal,새싹불고기비빔밥,567.52kcal,밥,363kcal,,,2975.77kcal,,,
2023-04-05,쇠고기미역국,20.61kcal,유부장국,50.79kcal,돼지고기애호박찌개,128.34kcal,,,2975.77kcal,"[16.08, 6.78, 15.06, [1, 0, 0, 0, 0]]","[8.17, 2.48, 5.99, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-05,비엔나소시지야채볶음,388.82kcal,후루룩떡잡채,285.86kcal,쇠고기우엉채볶음,115.09kcal,,,2975.77kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-05,오징어젓무침,39.41kcal,초코나무케익,85.2kcal,비빔만두,400.46kcal,,,2975.77kcal,"[34.0, 1.7, 9.0, [1, 0, 0, 0, 0]]","[21.0, 16.0, 3.0, [1, 0, 0, 0, 0]]","[6.01, 2.52, 2.75, [1, 0, 0, 0, 0]]"
2023-04-05,배추김치,10kcal,배추김치,10kcal,깍두기,15.2kcal,,,2975.77kcal,,,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]"
2023-04-05,우유(백색우유(200ML,122kcal,대추방울토마토,10.4665413kcal,,,,,2975.77kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[3.54, 0.18, 0.79, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-06,밥,363kcal,검은콩밥,379.56kcal,돈코츠라멘,581.38kcal,,,2950.37kcal,,,"[83.47, 10.74, 14.48, [1, 0, 0, 0, 0]]"
2023-04-06,어묵탕,161.32kcal,순두부찌개,125.37kcal,셀프주먹밥,158.59kcal,,,2950.37kcal,"[13.06, 2.45, 13.11, [1, 0, 0, 0, 0]]","[5.62, 17.99, 18.25, [1, 0, 0, 0, 0]]",
2023-04-06,쇠고기청경채두부볶음,287.46kcal,조미김,0kcal,타코야끼,472.72kcal,,,2950.37kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[1.55, 1.91, 0.68, [1, 0, 0, 0, 0]]","[4.28, 0.63, 1.3, [1, 0, 0, 0, 0]]"
2023-04-06,미나리무생채,24.23kcal,쇠고기꽈리고추조림,44.6kcal,배추김치&단무지,7.5kcal,,,2950.37kcal,"[6.68, 1.31, 1.84, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[1.58, 0.12, 0.66, [1, 0, 0, 0, 0]]"
2023-04-06,배추김치,10kcal,참나물도토리묵무침,33.53kcal,자연은포도100,84.51kcal,,,2950.37kcal,,"[0, 0, 0, [0, 0, 0, 0, 1]]","[23.0, 0.0, 0.0, [1, 0, 0, 0, 0]]"
2023-04-06,가공우유,167kcal,배추김치,10kcal,,,,,2950.37kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]",,"[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-06,,,신선형),39.6kcal,,,,,2950.37kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[54.73, 2.3, 11.31, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-07,흑미밥,381.75kcal,밥,363kcal,밥,363kcal,,,3356.48kcal,,,
2023-04-07,감자호박국,66.56kcal,쇠고기달래된장찌개,89.83kcal,참치김치찌개,187.8kcal,,,3356.48kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[6.11, 4.71, 9.71, [1, 0, 0, 0, 0]]"
2023-04-07,돼지고기부추볶음,455.05kcal,블랙꼬꼬강정,654.58kcal,오리깻잎불고기,393.13kcal,,,3356.48kcal,"[2.86, 9.51, 8.69, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[5.14, 7.57, 11.76, [1, 0, 0, 0, 0]]"
2023-04-07,버섯잡채,58.93kcal,고등어조림,147.18kcal,모듬쌈,10.47kcal,,,3356.48kcal,"[67.0, 10.0, 2.0, [1, 0, 0, 0, 0]]","[6.19, 12.55, 19.0, [1, 0, 0, 0, 0]]","[2.32, 0.11, 0.55, [1, 0, 0, 0, 0]]"
2023-04-07,배추김치,10kcal,파김치,0kcal,깍두기,15.2kcal,,,3356.48kcal,,"[3.13, 0.12, 0.76, [1, 0, 0, 0, 0]]","[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]"
2023-04-07,우유(백색우유(200ML,122kcal,참외,38kcal,,,,,3356.48kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[11.0, 0.29, 1.57, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-08,불고기핫도그,692.31kcal,,,,,,,1836.56kcal,"[29.0, 23.0, 14.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-08,새우볶음밥,445.05kcal,,,,,,,1836.56kcal,,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-08,홍게살콘샐러드,300kcal,,,,,,,1836.56kcal,"[24.4, 0.5, 11.2, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-08,모듬피클,42.4kcal,,,,,,,1836.56kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-08,시리얼,153.2kcal,,,,,,,1836.56kcal,"[27.4, 1.12, 2.39, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-08,바나나,81.6kcal,,,,,,,1836.56kcal,"[26.95, 0.39, 1.29, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-08,우유(백색우유(200ML,122kcal,,,,,,,1836.56kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-09,밥,363kcal,밥,363kcal,밥,363kcal,,,3062.91kcal,,,
2023-04-09,쇠고기육개장,125.67kcal,나가사끼짬뽕국,221.53kcal,된장찌개,68.75kcal,,,3062.91kcal,"[6.0, 6.0, 8.0, [1, 0, 0, 0, 0]]","[74.0, 9.0, 9.0, [1, 0, 0, 0, 0]]","[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]"
2023-04-09,감자채볶음,149.75kcal,닭갈비,353.42kcal,표고버섯돼지고기볶음,385.88kcal,,,3062.91kcal,"[15.24, 6.03, 1.63, [1, 0, 0, 0, 0]]","[14.39, 8.99, 13.4, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-09,사과소스in미트볼,200kcal,오이양파장아찌,35.27kcal,메추리알고추장조림,195.44kcal,,,3062.91kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[3.74, 0.32, 0.55, [1, 0, 0, 0, 0]]","[2.63, 7.73, 16.25, [1, 0, 0, 0, 0]]"
2023-04-09,깍두기,15.2kcal,배추김치,10kcal,배추김치,10kcal,,,3062.91kcal,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]",,
2023-04-09,우유(백색우유(200ML,122kcal,복숭아봉봉,340ml,,,,,3062.91kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[46.0, 0.0, 0.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-10,밥1,108.9kcal,찹쌀밥,348.55kcal,잡곡밥,361.64kcal,,,2757.01kcal,,,
2023-04-10,떡국,368.01kcal,반계탕,495.97kcal,햄소시지찌개,307.13kcal,,,2757.01kcal,"[66.59, 3.21, 11.18, [1, 0, 0, 0, 0]]","[17.08, 8.63, 30.3, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-10,김치만두찜,180kcal,볼어묵꽈리고추볶음,152.48kcal,오징어볶음,136.07kcal,,,2757.01kcal,"[43.0, 10.0, 11.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[8.66, 4.59, 12.41, [1, 0, 0, 0, 0]]"
2023-04-10,깻잎전,111kcal,오이풋고추된장무침,12.57kcal,김자반,0kcal,,,2757.01kcal,"[21.62, 9.15, 10.43, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[3.93, 4.58, 3.51, [1, 0, 0, 0, 0]]"
2023-04-10,깍두기,15.2kcal,배추김치,10kcal,계란찜,109.65kcal,,,2757.01kcal,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]",,"[2.07, 10.11, 10.05, [1, 0, 0, 0, 0]]"
2023-04-10,매일두유 초콜릿 190ml,,사과,29.841kcal,배추김치,10kcal,,,2757.01kcal,"[24.0, 4.8, 4.0, [1, 0, 0, 0, 0]]","[13.81, 0.17, 0.26, [1, 0, 0, 0, 0]]",
2023-04-11,밥,363kcal,밥,363kcal,셀프주먹밥,158.59kcal,,,2948.88kcal,,,
2023-04-11,유부장국,50.79kcal,삼색수제비국,201.06kcal,매운어묵꽂이,207kcal,,,2948.88kcal,"[8.17, 2.48, 5.99, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-11,애호박나물,39.46kcal,매운쇠고기불고기,218.07kcal,고구마함박스테이크,218.3kcal,,,2948.88kcal,"[8.0, 1.08, 1.16, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[82.0, 17.0, 17.0, [1, 0, 0, 0, 0]]"
2023-04-11,돈육굴소스양배추볶음,340.07kcal,통새우꽂이,405.36kcal,로제크림감자뇨끼,174.78kcal,,,2948.88kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[7.2, 4.0, 8.9, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-11,배추김치,10kcal,부추겉절이,19.4kcal,배추김치,10kcal,,,2948.88kcal,,"[5.46, 1.66, 3.02, [1, 0, 0, 0, 0]]",
2023-04-11,가공우유,116kcal,배추김치,10kcal,가야농장 제주감귤,44kcal,,,2948.88kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]",,"[24.0, 0.8, 0.0, [1, 0, 0, 0, 0]]"
2023-04-12,소불고기구운주먹밥,380kcal,잡곡밥,361.64kcal,밥,363kcal,,,3427.08kcal,,,
2023-04-12,치즈닭갈비구운주먹밥,440kcal,감자돈육짜글이,190.85kcal,만둣국,274.87kcal,,,3427.08kcal,,"[0, 0, 0, [0, 0, 0, 0, 1]]","[29.95, 21.79, 24.12, [1, 0, 0, 0, 0]]"
2023-04-12,쿠키&크림치즈케익,184kcal,골뱅이오징어채볶음,99.63kcal,마초치킨,532.26kcal,,,3427.08kcal,"[3.45, 1.07, 0.27, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[12.15, 14.45, 21.84, [1, 0, 0, 0, 0]]"
2023-04-12,시리얼,157.2kcal,계란장조림,94.02kcal,무생채,44.27kcal,,,3427.08kcal,"[27.4, 1.12, 2.39, [1, 0, 0, 0, 0]]","[1.62, 4.63, 9.75, [1, 0, 0, 0, 0]]","[7.17, 1.14, 1.15, [1, 0, 0, 0, 0]]"
2023-04-12,우유(백색우유(200ML,122kcal,배추김치,10kcal,배추김치,10kcal,,,3427.08kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]",,
2023-04-12,사과,29.841kcal,유산균 발효유,84.5kcal,파인애플에이드,49kcal,,,3427.08kcal,"[13.81, 0.17, 0.26, [1, 0, 0, 0, 0]]","[28.0, 0.0, 8.0, [1, 0, 0, 0, 0]]","[24.0, 0.0, 0.0, [1, 0, 0, 0, 0]]"
2023-04-13,밥,363kcal,밥,363kcal,김치볶음밥,541.44kcal,,,3198.01kcal,,,
2023-04-13,아욱된장국,40.58kcal,쇠고기무국,24.26kcal,중화식계란탕,81.86kcal,,,3198.01kcal,"[4.88, 0.73, 2.68, [1, 0, 0, 0, 0]]","[12.07, 8.62, 16.43, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-13,돼지고기청경채볶음,357.13kcal,소품떡,76.56kcal,돈토마호크구이,779.42kcal,,,3198.01kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[17.0, 9.0, 16.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-13,달래사과무침,36.01kcal,고추튀김,269.02kcal,만다린샐러드,39.45kcal,,,3198.01kcal,"[5.74, 3.26, 3.29, [1, 0, 0, 0, 0]]","[8.6, 3.01, 1.16, [1, 0, 0, 0, 0]]","[34.0, 8.0, 18.0, [1, 0, 0, 0, 0]]"
2023-04-13,배추김치,10kcal,조미김,0kcal,백김치,0kcal,,,3198.01kcal,,"[1.55, 1.91, 0.68, [1, 0, 0, 0, 0]]","[4.75, 0.19, 1.21, [1, 0, 0, 0, 0]]"
2023-04-13,우유(백색우유(200ML,122kcal,돌나물고추장무침,44.68kcal,,,,,3198.01kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-13,,,배추김치,10kcal,,,,,3198.01kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]",,"[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-13,,,신선형),39.6kcal,,,,,3198.01kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[54.73, 2.3, 11.31, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-14,밥,363kcal,유니짜장면,672.03kcal,잡곡밥,361.64kcal,,,3595.49kcal,,"[105.0, 12.0, 15.0, [1, 0, 0, 0, 0]]",
2023-04-14,콩나물김치국,40.83kcal,탕수육,433.53kcal,된장찌개,68.75kcal,,,3595.49kcal,"[1.79, 1.82, 1.92, [1, 0, 0, 0, 0]]","[21.58, 7.98, 9.0, [1, 0, 0, 0, 0]]","[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]"
2023-04-14,햄감자볶음,152.44kcal,멘보샤/칠리소스,365.56kcal,대패삼겹곱창볶음,676.44kcal,,,3595.49kcal,"[18.0, 7.0, 4.0, [1, 0, 0, 0, 0]]","[19.79, 0.3, 2.5, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-14,쇠고기부추무침,140.67kcal,배추김치&단무지,7.5kcal,쌈무&깻잎,7.1kcal,,,3595.49kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[1.58, 0.12, 0.66, [1, 0, 0, 0, 0]]","[0.6, 0.04, 0.16, [1, 0, 0, 0, 0]]"
2023-04-14,깍두기,10kcal,아이스 망고바,126kcal,배추김치,10kcal,,,3595.49kcal,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]","[7.0, 0.0, 1.0, [1, 0, 0, 0, 0]]",
2023-04-14,우유(백색우유(200ML,122kcal,,,참외,38kcal,,,3595.49kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[11.0, 0.29, 1.57, [1, 0, 0, 0, 0]]"
2023-04-15,모닝빵&딸기잼,274.4kcal,밥,363kcal,밥,363kcal,,,3412.47kcal,"[17.42, 1.43, 3.28, [1, 0, 0, 0, 0]]",,
2023-04-15,토네이도소시지구이,288.79kcal,감자호박국,66.56kcal,버섯육개장,62.41kcal,,,3412.47kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[9.0, 2.9, 8.0, [1, 0, 0, 0, 0]]"
2023-04-15,시리얼,153.2kcal,두부김치,246.34kcal,잡채,255.54kcal,,,3412.47kcal,"[27.4, 1.12, 2.39, [1, 0, 0, 0, 0]]",,"[28.82, 6.78, 5.06, [1, 0, 0, 0, 0]]"
2023-04-15,초코와플,88.4kcal,닭간장소스찜,302.61kcal,돈육고추장볶음,468.61kcal,,,3412.47kcal,"[12.0, 6.0, 1.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[21.0, 18.0, 18.0, [1, 0, 0, 0, 0]]"
2023-04-15,카프레제샐러드,103.61kcal,깍두기,10kcal,배추김치,10kcal,,,3412.47kcal,"[5.0, 9.0, 4.0, [1, 0, 0, 0, 0]]","[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]",
2023-04-15,우유(백색우유(200ML,122kcal,아이스크림 팩형,234kcal,,,,,3412.47kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[6.49, 0.08, 0.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-04-16,밥,363kcal,밥,363kcal,밥,363kcal,,,3023.92kcal,,,
2021-08-18,밥,363kcal,밥,363kcal,현미밥,384.78kcal,,,2866.93kcal,,,
2021-08-18,버섯감자찌개,67.22kcal,닭볶음탕,260.18kcal,쇠고기호박찌개,68.27kcal,,,2866.93kcal,"[14.04, 1.86, 2.04, [1, 0, 0, 0, 0]]","[9.4, 9.5, 25.72, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-18,돈육야채볶음,296.97kcal,단호박튀김,374.94kcal,오리훈제고추잡채,247.45kcal,,,2866.93kcal,"[9.73, 4.05, 1.72, [1, 0, 0, 0, 0]]","[24.28, 9.7, 2.98, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-18,순두부양념장,74.1kcal,조미김,0kcal,고등어순살조림,142.9kcal,,,2866.93kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[1.55, 1.91, 0.68, [1, 0, 0, 0, 0]]","[6.19, 12.55, 19.0, [1, 0, 0, 0, 0]]"
2021-08-18,배추김치,8.75kcal,오이된장초무침,29.42kcal,배추김치,8.75kcal,,,2866.93kcal,,"[0, 0, 0, [0, 0, 0, 0, 1]]",
2021-08-18,우유(백색우유(200ML,122kcal,깍두기,15.2kcal,,,,,2866.93kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2021-08-18,,,배 주스,40kcal,,,,,2866.93kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[34.21, 0.25, 0.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-03-18,모듬피클,42.4kcal,,,,,,,2155.95kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-03-18,탄산음료,117.5kcal,,,,,,,2155.96kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-03-19,햄치즈샌드위치,420kcal,언양식불고기덮밥,690.93kcal,밥,363kcal,,,2998.34kcal,"[42.0, 11.0, 17.0, [1, 0, 0, 0, 0]]",,
2023-03-19,소불고기구운주먹밥,380kcal,콩나물무채국,27.35kcal,짬뽕찌개,195.69kcal,,,2998.35kcal,,"[5.99, 1.13, 2.31, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-03-19,시리얼,153.2kcal,매실양념깻잎,25.61kcal,애호박나물,39.46kcal,,,2998.36kcal,"[27.4, 1.12, 2.39, [1, 0, 0, 0, 0]]","[13.0, 3.0, 2.0, [1, 0, 0, 0, 0]]","[8.0, 1.08, 1.16, [1, 0, 0, 0, 0]]"
2023-03-19,바나나,81.6kcal,배추김치,10.25kcal,마늘김치두루치기,229.75kcal,,,2998.37kcal,"[26.95, 0.39, 1.29, [1, 0, 0, 0, 0]]",,"[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-03-19,우유(백색우유(200ML,122kcal,코코팜망고코넛,122.3kcal,깍두기,15.2kcal,,,2998.38kcal,"[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]","[51.0, 0.0, 0.0, [1, 0, 0, 0, 0]]","[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]"
2023-03-19,,,,,우유(백색우유(200ML,122kcal,,,2998.39kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[4.66, 3.35, 3.32, [1, 0, 0, 0, 0]]"
2023-03-20,밥,363kcal,잡곡밥,364.8kcal,밥,363kcal,,,3271.83kcal,,,
2023-03-20,햄소시지찌개,335.49kcal,감자탕,693.2kcal,된장찌개,44.19kcal,,,3271.84kcal,"[0, 0, 0, [0, 0, 0, 0, 1]]","[10.01, 5.58, 14.74, [1, 0, 0, 0, 0]]","[16.77, 5.6, 15.01, [1, 0, 0, 0, 0]]"
2023-03-20,쇠고기불낙볶음,256.58kcal,골뱅이오징어채볶음,103.18kcal,버섯잡채,79.03kcal,,,3271.85kcal,"[3.91, 6.23, 10.92, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[67.0, 10.0, 2.0, [1, 0, 0, 0, 0]]"
2023-03-20,과일샐러드,34.07kcal,치즈볼,202.29kcal,닭매운양념조림,227.75kcal,,,3271.86kcal,"[13.16, 0.86, 0.67, [1, 0, 0, 0, 0]]","[2.0, 6.0, 1.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-03-20,배추김치,10.25kcal,배추김치,10.25kcal,배추김치,10.25kcal,,,3271.87kcal,,,
2023-03-20,유산균 발효유,84.5kcal,,,비타민음료,90kcal,,,3271.88kcal,"[28.0, 0.0, 8.0, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-03-21,밥,363kcal,밥,363kcal,흑미밥,381.75kcal,,,2873.06kcal,,,
2023-03-21,사골우거지국,144.02kcal,만둣국,21.17kcal,중화식계란탕,81.86kcal,,,2873.07kcal,"[6.0, 7.0, 14.0, [1, 0, 0, 0, 0]]","[29.95, 21.79, 24.12, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-03-21,멸치깻잎조림,52.36kcal,사천식닭갈비,277.81kcal,돼지고기고추장볶음,472.05kcal,,,2873.08kcal,"[4.37, 8.46, 17.7, [1, 0, 0, 0, 0]]","[32.0, 2.3, 5.0, [1, 0, 0, 0, 0]]","[39.0, 6.0, 11.0, [1, 0, 0, 0, 0]]"
2023-03-21,칼집비엔나&토마토케찹,307.89kcal,조미김,0kcal,콩나물게맛살냉채,100.36kcal,,,2873.09kcal,"[17.6, 24.5, 10.9, [1, 0, 0, 0, 0]]","[1.55, 1.91, 0.68, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]"
2023-03-21,깍두기,15.2kcal,혼합장아찌,4.25kcal,배추김치,10.25kcal,,,2873.10kcal,"[3.21, 0.29, 0.62, [1, 0, 0, 0, 0]]","[0, 0, 0, [0, 0, 0, 0, 1]]",
